"track_name","artist(s)_name","artist_count","in_spotify_playlists","in_spotify_charts","streams","in_apple_playlists","in_deezer_charts","bpm","danceability_%","valence_%","energy_%","acousticness_%","instrumentalness_%","liveness_%","speechiness_%"
"Conex��es de M��fia (feat. Rich","Rich The Kid, Matu�","2","385","4","77233241","17","1","117","77","69","58","39","0","26","5"
"MIENTRAS ME CURO DEL CORA","Karol G","1","1020","35","206399629","15","6","80","52","57","48","86","0","15","39"
"Never Felt So Alone","Labrinth","1","1730","3","117747907","46","0","98","44","36","41","50","0","38","5"
"X SI VOLVEMOS","Karol G, Romeo Santos","2","2127","33","266624541","45","8","178","79","58","78","34","0","11","25"
"ceilings","Lizzy McAlpine","1","3242","9","293186992","67","0","148","51","27","33","48","0","22","3"
"Cupid","Fifty Fifty","1","526","10","139681964","15","0","120","77","94","66","65","0","38","3"
"I AM","IVE","1","366","15","123132751","16","0","122","68","38","88","1","0","8","5"
"Cupid ��� Twin Ver. (FIFTY FIFTY) ��� Spe","sped up 8282","1","472","2","103762518","0","0","144","74","75","73","42","0","9","4"
"Shorty Party","Cartel De Santa, La Kelly","2","432","12","162887075","8","2","96","93","47","47","33","0","10","36"
"Super","SEVENTEEN","1","271","12","91221625","16","0","137","77","35","88","16","0","17","9"
"Slut Me Out","NLE Choppa","1","816","4","190490915","21","0","121","94","71","61","12","0","53","42"
"Double Fantasy (with Future)","The Weeknd, Future","2","1169","0","96180277","36","0","119","60","10","57","1","0","50","3"
"All Of The Girls You Loved Before","Taylor Swift","1","1282","6","185240616","26","0","96","72","40","47","71","0","13","4"
"PROVENZA","Karol G","1","6587","34","885093467","114","11","111","87","53","52","66","1","11","5"
"Princess Diana (with Nicki Minaj)","Nicki Minaj, Ice Spice","2","1444","4","104992946","0","0","148","90","74","68","14","0","10","19"
"Di Que Si","Grupo Marca Registrada, Grupo Frontera","2","356","10","147290338","4","2","182","57","80","59","8","0","6","5"
"Shivers","Ed Sheeran","1","10147","30","1302184087","234","18","141","79","82","86","28","0","4","9"
"Igualito a Mi Ap�","Fuerza Regida, Peso Pluma","2","265","6","158950978","8","1","145","76","80","81","19","0","6","9"
"Shoong! (feat. LISA of BLACKPINK)","TAEYANG, Lisa","2","351","9","76910644","16","0","110","76","26","70","1","0","41","6"
"Komang","Raim Laode","1","158","4","137123880","5","1","134","70","35","41","41","0","10","3"
"DESPECH�","ROSAL�","1","7613","33","782369383","180","15","130","92","78","62","18","0","6","10"
"Made You Look","Meghan Trainor","1","3956","6","502574952","142","3","145","84","88","53","35","0","8","7"
"Watch This - ARIZONATEARS Pluggnb Remix","sped up nightcore, ARIZONATEARS, Lil Uzi Vert","3","1638","10","207033255","0","0","130","69","36","90","1","10","15","4"
"No Se Va","Grupo Frontera","1","924","18","404887295","17","9","173","59","69","53","12","0","23","3"
"Punto G","Quevedo","1","1985","35","381161027","34","5","92","75","55","76","25","0","10","15"
"Lovers Rock","TV Girl","1","6339","13","466231982","3","1","105","56","57","87","0","1","10","4"
"METAMORPHOSIS","INTERWORLD","1","1561","24","357580552","18","0","175","59","15","64","43","90","12","10"
"Mami Chula","Quevedo, Jhayco","2","875","4","61105704","17","0","120","80","33","70","22","0","9","4"
"En Paris","El Chachito, Junior H","2","406","5","198275403","3","1","139","70","77","48","37","0","12","5"
"Set Me Free Pt.2","Jimin","1","340","13","168448603","4","1","132","59","56","82","12","0","12","6"
"I Was Never There","The Weeknd, Gesaffelstein","2","4188","15","705469769","30","0","114","32","17","74","14","0","17","3"
"Don't ever say love me (feat. RM of BTS)","RM, Colde","2","105","0","34502215","5","0","145","54","19","48","36","0","37","5"
"Shut Down","BLACKPINK","1","1524","17","482175240","53","0","110","82","67","69","0","0","18","4"
"Gato de Noche","Nengo Flow, Bad Bunny","2","2651","30","304118600","21","3","94","89","61","66","17","0","36","16"
"Call Out My Name","The Weeknd","1","11087","6","1449799467","151","1","134","45","17","60","21","0","33","4"
"Like Crazy (English Version)","Jimin","1","373","19","173627354","4","0","120","62","32","76","0","0","39","4"
"Rosa Pastel","Jasiel Nu��ez, Peso P","2","200","4","90025258","8","1","123","70","86","68","24","0","11","4"
"Sunroof","Nicky Youre, Dazy","2","3741","17","652704649","156","19","131","77","84","71","35","0","15","4"
"Lose Yourself - Soundtrack Version","Eminem","1","32502","21","1829992958","247","1","171","70","6","73","1","0","36","26"
"Superman","Eminem, Dina Rae","2","7615","14","655466831","18","0","130","80","64","76","2","0","20","6"
"Mas Rica Que Ayer","Mambo Kingz, DJ Luian, Anuel Aa","3","1208","34","146409671","10","0","94","82","53","67","34","0","9","8"
"People Pt.2 (feat. IU)","IU, Agust D","2","209","4","95816024","4","2","89","73","44","57","39","0","32","6"
"REMIX EXCLUSIVO","Feid","1","1235","9","117206995","20","0","87","65","71","56","4","0","15","20"
"Arc��ngel: Bzrp Music Sessions, Vol","Arcangel, Bizarrap","2","654","3","100409613","11","1","124","72","79","78","55","0","15","30"
"DOGTOOTH","Tyler, The Creator","2","1479","0","80758350","23","0","78","71","80","65","51","0","22","32"
"10:35","Ti��sto, Tate M","2","4942","26","325592432","190","18","120","70","70","79","7","0","18","10"
"SORRY NOT SORRY","Tyler, The Creator","2","709","0","58473276","8","0","96","48","50","80","40","0","37","20"
"HAPPY","NF","1","660","0","52722996","22","0","106","73","22","86","31","0","12","4"
"La Bebe","Yng Lvcas","1","489","17","191945597","4","1","170","78","75","46","62","0","12","35"
"I Know - PR1SVX Edit","Kanii, PR1ISVX","2","407","0","77377503","16","0","134","67","11","76","8","47","30","7"
"Late Night Talking","Harry Styles","1","7461","8","743693613","166","16","115","71","90","73","30","0","11","5"
"Le�","Mar��lia Mendo","1","993","4","267789608","30","1","130","74","79","87","45","0","30","3"
"Save Your Tears (with Ariana Grande) (Remix)","Ariana Grande, The Weeknd","2","9161","5","1221813483","240","3","118","65","63","79","3","0","10","3"
"Something in the Orange","Zach Bryan","1","3282","12","449701773","67","16","110","59","22","38","42","0","12","3"
"VOID","Melanie Martinez","1","596","0","67070410","29","0","100","72","42","66","18","4","19","4"
"Dijeron Que No La Iba Lograr","Fuerza Regida, Chino Pacas","2","320","6","116334601","5","1","142","70","76","79","26","0","11","7"
"Midnight Rain","Taylor Swift","1","2612","4","433356509","19","0","140","64","18","37","72","0","12","7"
"If We Ever Broke Up","Mae Stephens","1","2040","4","165584767","81","9","116","90","96","73","62","0","9","4"
"You Proof","Morgan Wallen","1","2128","9","367814306","37","0","120","73","64","85","25","0","61","3"
"LA INOCENTE","Feid, Mora","2","2598","37","477033549","28","8","92","76","46","79","31","0","7","6"
"Malas Decisiones","Kenia OS","1","542","2","156214700","23","0","110","81","64","79","5","0","31","3"
"Murder In My Mind","Kordhell","1","2459","20","448843705","20","0","120","71","57","97","1","0","13","11"
"Gangsta's Paradise","Coolio, L.V.","2","10624","17","1357608774","21","0","80","63","40","61","9","0","56","6"
"CAIRO","Karol G, Ovy On The Drums","2","2418","26","294352144","52","1","115","95","43","69","47","0","9","31"
"I Love You So","The Walters","1","7536","7","972164968","44","0","76","58","46","67","65","0","13","4"
"Dark Red","Steve Lacy","1","10431","7","920045682","71","0","172","60","77","78","45","0","12","6"
"Say You Won't Let Go","James Arthur","1","15722","16","2420461338","231","0","99","40","45","56","69","0","9","5"
"The Hills","The Weeknd","1","25744","4","1947371785","122","0","136","36","12","57","9","0","14","8"
"Heart To Heart","Mac DeMarco","1","1640","0","244658767","27","1","150","90","64","14","67","35","11","10"
"Peaches (from The Super Mario Bros. Movie)","Jack Black","1","34","0","68216992","0","0","92","71","41","31","79","0","10","5"
"Marisola - Remix","Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile","5","1845","16","223582566","20","2","95","77","72","87","17","0","7","5"
"LOKERA","Brray, Rauw Alejandro, Lyanno","3","3301","30","471819764","72","6","102","83","58","83","21","0","10","5"
"Low","SZA","1","1911","0","272377463","23","0","145","70","34","55","43","0","16","6"
"Numb","Linkin Park","1","20111","5","1361425037","39","0","110","50","24","86","0","0","64","4"
"Tormenta (feat. Bad Bunny)","Gorillaz, Bad Bunny","2","1529","0","149778242","32","2","95","64","30","77","46","0","38","6"
"on the street (with J. Cole)","j-hope, J. Cole","2","615","2","116599790","22","0","94","68","81","82","53","0","9","13"
"One Thing At A Time","Morgan Wallen","1","811","4","148469433","11","0","142","61","92","91","0","0","26","3"
"Miss You","Robin Schulz, Oliver Tree","2","5730","10","497225336","108","3","145","59","20","74","1","0","15","5"
"Ain���t Tha","Morgan Wallen","1","356","4","88791109","4","0","121","64","67","80","0","0","36","3"
"Thinkin��� B","Morgan Wallen","1","604","6","125917280","22","0","140","66","43","76","49","0","12","3"
"Private Landing (feat. Justin Bieber & Future)","Don Toliver, Future, Justin Bieber","3","1190","0","105062254","29","0","137","84","44","67","8","0","11","6"
"Everything I Love","Morgan Wallen","1","579","0","95623148","11","0","104","56","72","85","0","0","15","3"
"Heaven","Niall Horan","1","1553","2","144584800","61","0","92","57","68","76","7","0","33","3"
"LET GO","Central Cee","1","2301","20","298063749","49","0","146","74","51","45","86","0","21","38"
"Sial","Mahalini","1","134","4","166570053","4","0","120","56","20","43","89","0","12","4"
"I Wrote The Book","Morgan Wallen","1","430","0","83021468","15","0","144","68","83","81","9","0","8","4"
"Apna Bana Le (From ""Bhediya"")","Arijit Singh, Sachin-Jigar","2","86","0","139836056","11","0","94","59","44","56","80","0","6","3"
"SPIT IN MY FACE!","ThxSoMch","1","629","14","303216294","32","0","94","73","65","79","5","2","11","6"
"PLAYA DEL INGL�","Myke Towers, Quevedo","2","1701","15","221409663","30","2","113","79","66","74","8","0","11","5"
"Man Made A Bar (feat. Eric Church)","Morgan Wallen, Eric Church","2","329","0","58890931","14","0","148","50","49","76","12","0","12","3"
"Red Ruby Da Sleeze","Nicki Minaj","1","1168","0","81419389","45","0","98","70","29","73","12","0","11","26"
"Kahani Suno 2.0","Kaifi Khalil","1","162","6","156777415","1","0","140","58","26","38","91","0","10","4"
"Nobody Gets Me","SZA","1","2536","6","284908316","59","13","100","36","28","28","81","0","18","3"
"PERO T�","Karol G, Quevedo","2","387","11","93438910","11","3","140","86","68","79","39","0","11","29"
"Hype Boy","NewJeans","1","892","17","363472647","20","2","100","59","78","94","27","0","29","23"
"Bloody Mary","Lady Gaga","1","3909","0","372476382","66","3","100","59","49","65","2","0","13","3"
"Monoton�","Ozuna, Shakira","2","3645","15","380726517","118","4","132","87","82","70","42","0","21","5"
"���98 Braves","Morgan Wallen","1","282","0","56533272","6","0","142","49","48","67","10","0","26","3"
"WANDA","Quevedo","1","888","22","175399345","11","1","176","72","96","63","25","0","21","7"
"Thought You Should Know","Morgan Wallen","1","968","4","203221468","16","0","140","53","51","70","49","0","14","3"
"In The End","Linkin Park","1","25065","6","1624165576","63","2","105","55","40","90","1","0","32","6"
"Zona De Perigo","Leo Santana","1","531","4","134294498","20","2","135","81","97","77","75","0","35","3"
"Lovezinho","Treyce","1","242","0","70069745","12","0","128","82","61","59","30","0","12","4"
"I Like You (A Happier Song) (with Doja Cat)","Post Malone, Doja Cat","2","5281","14","609293408","94","15","101","74","43","69","12","0","12","7"
"Neverita","Bad Bunny","1","2590","30","671365962","20","6","122","88","43","50","7","0","14","5"
"Vista Al Mar","Quevedo","1","1769","34","362361576","16","3","105","76","49","56","80","12","10","13"
"Sem Alian��a no","MC Xenon, Os Gemeos da Putaria","2","454","4","93587665","6","0","83","53","40","36","73","0","11","33"
"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons, League of Legends, JID, Arcane","4","6180","7","1223481149","122","21","77","72","59","76","24","0","42","28"
"Revenge","XXXTENTACION","1","3600","11","1022258230","7","0","140","75","18","25","78","0","11","26"
"Bombonzinho - Ao Vivo","Israel & Rodolffo, Ana Castela","2","1254","6","263453310","26","2","158","65","72","95","31","0","92","5"
"LA CANCI�","J Balvin, Bad Bunny","2","6398","31","1435127549","177","3","176","75","43","65","15","0","11","32"
"Qu�� Ago","Yuridia, Angela Aguilar","2","660","15","236857112","19","5","98","73","88","57","56","0","5","2"
"Love Again","The Kid Laroi","1","1283","0","147538971","57","0","107","66","47","40","72","0","11","3"
"After Hours","The Weeknd","1","8084","6","698086140","45","1","109","66","16","57","10","1","12","3"
"About Damn Time","Lizzo","1","2332","2","723894473","0","0","109","84","72","74","10","0","34","7"
"Born With A Beer In My Hand","Morgan Wallen","1","203","0","34450974","5","0","148","53","61","81","5","0","36","4"
"���������������������","Fujii Kaze","1","685","14","403097450","24","0","158","60","52","76","17","0","19","5"
"Besos Moja2","Wisin & Yandel, ROSAL�","2","2460","13","309483971","53","3","94","74","64","73","6","0","10","6"
"Maan Meri Jaan","King","1","288","6","319566866","11","0","96","70","40","51","35","0","10","4"
"Moscow Mule","Bad Bunny","1","4572","33","909001996","74","9","100","80","29","67","29","0","12","3"
"My Universe","Coldplay, BTS","2","6127","13","1061966512","0","0","105","58","42","68","1","0","14","4"
"Devil Don���","Morgan Wallen","1","166","0","32526947","2","0","125","53","32","66","38","0","9","3"
"LLYLM","ROSAL�","1","1838","0","124988687","105","1","170","56","56","63","13","0","19","27"
"I'm Not Here To Make Friends","Sam Smith, Calvin Harris, Jessie Reyez","3","1890","0","103787664","86","0","115","70","84","90","17","0","41","6"
"TRUSTFALL","P!nk","1","2098","16","134255790","88","7","122","64","25","89","0","0","15","9"
"ANTIFRAGILE","LE SSERAFIM","1","761","12","301051721","23","0","105","88","82","80","8","0","11","8"
"Boy's a liar","PinkPantheress","1","1225","0","156338624","27","13","133","66","74","84","25","0","21","4"
"VIBE (feat. Jimin of BTS)","TAEYANG, Jimin","2","415","2","152850295","15","1","100","79","60","68","7","0","26","4"
"Shirt","SZA","1","3469","0","309653982","71","0","120","82","55","45","15","3","9","10"
"Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By","Rihanna","1","3311","0","297328960","129","1","177","25","17","30","90","0","13","3"
"STAR WALKIN' (League of Legends Worlds Anthem)","Lil Nas X","1","2616","0","332506354","113","0","142","64","31","72","15","0","9","5"
"Sex, Drugs, Etc.","Beach Weather","1","3006","16","480507035","47","12","144","57","47","84","1","1","52","4"
"Boy With Luv (feat. Halsey)","Halsey, BTS","2","4260","0","1065580332","113","0","120","65","80","86","9","0","19","10"
"Hey, Mickey!","Baby Tate","1","482","0","122763672","9","4","135","92","73","51","55","0","15","6"
"Calm Down","R��","1","4013","10","445763624","107","22","107","81","82","78","38","0","12","4"
"Jhoome Jo Pathaan","Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar","6","138","4","1365184","13","0","105","82","62","74","10","0","33","7"
"Escapism. - Sped Up","RAYE, 070 Shake","2","1368","0","184308753","12","0","108","44","38","77","9","0","9","20"
"Space Song","Beach House","1","17852","4","789753877","69","0","147","51","62","79","22","13","14","3"
"Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack]","BTS, Jung Kook, FIFA Sound","3","889","20","323358833","11","0","115","71","34","88","16","0","44","4"
"Te Felicito","Shakira, Rauw Alejandro","2","4796","9","606361689","124","13","174","70","57","64","23","0","8","32"
"Mu��","Steve Aoki, Tini, La Joaqui","3","658","6","120972253","33","2","90","68","83","71","3","0","31","8"
"TV","Billie Eilish","1","3009","2","338564981","68","0","141","41","9","25","84","1","14","4"
"I'm Not The Only One","Sam Smith","1","17492","3","1606986953","136","0","82","68","50","49","56","0","8","4"
"Heather","Conan Gray","1","6170","7","1301799902","82","0","92","47","25","43","62","0","32","3"
"Besharam Rang (From ""Pathaan"")","Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Kumaar, Vishal Dadlani, Shekhar Ravjiani","6","130","4","140187018","21","0","116","77","65","80","6","0","15","4"
"One Kiss (with Dua Lipa)","Calvin Harris, Dua Lipa","2","27705","10","1897517891","537","6","124","79","59","86","4","0","8","11"
"Sugar Rush Ride","TOMORROW X TOGETHER","1","359","0","107642809","12","0","125","71","83","89","1","0","17","9"
"Pink Venom","BLACKPINK","1","1963","16","551305895","57","1","90","80","71","69","2","0","27","10"
"WAIT FOR U (feat. Drake & Tems)","Drake, Future, Tems","3","5491","14","556585270","128","0","83","46","34","64","31","0","7","34"
"Don't Start Now","Dua Lipa","1","27119","0","2303033973","532","3","124","79","68","79","1","0","10","8"
"After Dark","Mr.Kitty","1","1776","14","646886885","1","0","140","58","4","60","7","41","8","3"
"Eu Gosto Assim - Ao Vivo","Gustavo Mioto, Mari Fernandez","2","1473","4","222612678","27","1","154","64","61","91","15","0","72","4"
"INDUSTRY BABY (feat. Jack Harlow)","Jack Harlow, Lil Nas X","2","13315","0","1814349763","300","0","150","74","89","70","2","0","5","6"
"MIDDLE OF THE NIGHT","Elley Duh�","1","4057","8","872137015","78","1","186","41","9","61","2","0","12","5"
"Atlantis","Seafret","1","3045","6","571386359","43","1","166","40","23","48","5","0","12","3"
"PUNTO 40","Baby Rasta, Rauw Alejandro","2","3006","12","304079786","54","2","107","87","20","83","0","4","31","9"
"Evoque Prata","DJ Escobar, MC MENOR SG, MC MENOR HR","3","852","0","174006928","14","0","87","87","52","52","31","0","28","24"
"How Do I Say Goodbye","Dean Lewis","1","2163","15","284785823","72","0","82","40","39","64","21","0","7","7"
"Blind","SZA","1","1484","0","163284000","22","0","114","46","60","28","91","0","21","4"
"Die For You","Joji","1","1703","0","246390068","38","16","148","47","15","52","38","13","29","5"
"Doja","Central Cee","1","4169","44","482257456","57","1","140","91","97","57","38","0","40","29"
"Gatita","Bellakath","1","1054","0","168684524","9","0","101","90","76","81","15","24","33","6"
"Rumble","Skrillex, Flowdan, Fred again..","3","2849","0","78489819","39","0","140","81","6","84","5","23","6","6"
"Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage]","Travis Scott, 21 Savage, Metro Boomin","3","1602","0","195516622","12","0","88","49","24","66","19","0","18","29"
"Yonaguni","Bad Bunny","1","9644","28","1260594497","120","4","180","64","44","65","28","0","14","12"
"Super Freaky Girl","Nicki Minaj","1","4827","0","428685680","104","9","133","95","91","89","6","0","31","24"
"Running Up That Hill (A Deal With God)","Kate Bush","1","21811","0","1024858327","117","3","108","63","20","55","72","0","6","6"
"Dream On","Aerosmith","1","168","0","838586769","0","0","80","39","24","43","39","0","23","3"
"Limbo","Freddie Dredd","1","688","0","199386237","14","0","75","80","46","62","3","6","11","46"
"Where Are You Now","Lost Frequencies, Calum Scott","2","10565","44","972509632","238","17","121","67","26","64","52","0","17","10"
"WORTH NOTHING","Twisted, Oliver Tree","2","1612","0","213438580","34","0","140","58","17","62","18","0","20","8"
"Bad Habits","Ed Sheeran","1","12755","8","1555511105","344","15","126","81","59","90","5","0","36","3"
"KICK BACK","Kenshi Yonezu","1","574","4","210038833","38","0","102","58","29","94","0","0","9","11"
"Evergreen (You Didn���t Deserve Me A","Omar Apollo","1","2499","0","227918678","70","0","82","70","31","34","60","1","11","4"
"Good Days","SZA","1","10426","2","826623384","133","1","121","46","53","78","23","0","72","6"
"Levitating (feat. DaBaby)","Dua Lipa, DaBaby","2","15894","8","1802514301","198","0","103","70","92","83","1","0","7","6"
"Woman","Doja Cat","1","9424","0","1329090101","202","4","108","82","88","76","9","0","12","9"
"Shut up My Moms Calling - (Sped Up)","Hotel Ugly","1","713","7","181831132","2","0","85","65","36","47","31","0","12","10"
"Ferrari","James Hype, Miggy Dela Rosa","2","7758","28","462791599","173","0","125","84","70","69","1","0","5","5"
"You're On Your Own, Kid","Taylor Swift","1","2537","2","348647203","8","0","120","69","40","39","41","0","13","6"
"Kesariya (From ""Brahmastra"")","Pritam, Arijit Singh, Amitabh Bhattacharya","3","292","6","366599607","26","0","94","58","44","57","57","0","10","3"
"Agudo M��gi","Styrx, utku INC, Thezth","3","323","0","90598517","4","0","130","65","49","80","22","4","7","5"
"Payphone","Maroon 5, Wiz Khalifa","2","14143","4","1479264469","56","1","110","74","51","74","2","0","29","4"
"All I Want for Christmas Is You","Mariah Carey","1","25653","0","1449779435","387","0","150","34","33","63","16","0","7","4"
"Last Christmas","Wham!","1","22153","0","1159176109","274","0","107","74","88","65","28","0","46","3"
"Rockin' Around The Christmas Tree","Brenda Lee","1","14994","0","769213520","191","0","140","70","85","41","71","0","45","5"
"Jingle Bell Rock","Bobby Helms","1","10326","0","741301563","165","0","119","74","78","37","84","0","6","3"
"It's Beginning To Look A Lot Like Christmas","Michael Bubl�","1","12353","0","807561936","35","0","93","35","38","23","91","0","29","3"
"Santa Tell Me","Ariana Grande","1","9408","0","834129063","231","0","133","46","53","63","5","0","30","18"
"It's the Most Wonderful Time of the Year","Andy Williams","1","8879","0","663832097","182","0","202","24","76","60","77","0","12","4"
"Let It Snow! Let It Snow! Let It Snow!","Dean Martin","1","6512","0","446390129","88","0","134","45","72","24","91","0","18","4"
"Snowman","Sia","1","5140","0","690104769","85","0","105","72","33","51","48","0","9","3"
"Underneath the Tree","Kelly Clarkson","1","6596","0","485285717","144","0","160","51","69","81","0","0","21","5"
"Feliz Navidad","Jos�� Felic","1","3788","0","520034544","21","0","148","50","96","82","47","0","34","4"
"Holly Jolly Christmas","Michael Bubl�","1","7655","0","476244795","5","0","151","65","70","47","87","0","9","4"
"Mistletoe","Justin Bieber","1","9577","0","629173063","195","0","162","67","88","54","51","0","9","4"
"Sleigh Ride","The Ronettes","1","10114","0","404664135","114","0","92","53","84","77","40","0","32","3"
"Seek & Destroy","SZA","1","1007","0","98709329","5","0","152","65","35","65","44","18","21","7"
"Love Language","SZA","1","1127","0","110849052","16","0","65","71","55","26","85","0","13","8"
"Happy Xmas (War Is Over)","John Lennon, The Harlem Community Choir, The Plastic Ono Band, Yoko Ono","4","10829","0","460492795","130","0","147","33","39","61","32","0","77","3"
"Used (feat. Don Toliver)","SZA, Don Toliver","2","1042","0","94005786","7","0","150","73","71","69","53","0","32","9"
"A Holly Jolly Christmas - Single Version","Burl Ives","1","7930","0","395591396","108","0","140","67","81","36","64","0","15","3"
"The Christmas Song (Merry Christmas To You) - Remastered 1999","Nat King Cole","1","11500","0","389771964","140","0","139","36","22","15","84","0","11","4"
"Wonderful Christmastime - Edited Version / Remastered 2011","Paul McCartney","1","1685","0","403939487","1","0","95","75","74","58","36","0","9","3"
"Do They Know It's Christmas? - 1984 Version","Band Aid","1","14169","0","481697415","209","0","115","60","23","57","0","2","27","3"
"Ghost in the Machine (feat. Phoebe Bridgers)","SZA, Phoebe Bridgers","2","1634","0","110073250","16","0","125","62","59","43","84","3","11","5"
"Special","SZA","1","906","0","88092256","6","0","76","60","19","20","78","0","11","5"
"Merry Christmas Everyone","Shakin' Stevens","1","1087","0","351636786","90","0","101","72","91","87","14","0","13","3"
"Let It Snow! Let It Snow! Let It Snow!","Frank Sinatra, B. Swanson Quartet","2","10585","0","473248298","126","0","143","60","86","32","88","0","34","6"
"SOS","SZA","1","827","0","73981293","6","0","119","51","51","66","67","0","9","23"
"Open Arms (feat. Travis Scott)","SZA, Travis Scott","2","1420","4","155653938","13","0","78","67","22","59","76","1","15","16"
"White Christmas","Bing Crosby, John Scott Trotter & His Orchestra, Ken Darby Singers","3","11940","0","395591396","73","0","96","23","19","25","91","0","40","3"
"Driving Home for Christmas - 2019 Remaster","Chris Rea","1","888","0","429504768","50","0","180","51","87","58","36","0","18","4"
"Christmas (Baby Please Come Home)","Darlene Love","1","9122","0","242767149","121","0","126","34","35","76","39","0","8","5"
"Gone Girl","SZA","1","892","0","65362788","3","0","150","43","42","44","57","0","15","6"
"F2F","SZA","1","989","0","67540165","5","0","90","53","47","74","9","0","34","4"
"Notice Me","SZA","1","819","0","62019074","14","0","160","72","78","68","28","0","11","12"
"Merry Christmas","Ed Sheeran, Elton John","2","2209","0","135723538","72","0","114","59","60","94","24","0","10","4"
"It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra)","Perry Como, The Fontane Sisters, Mitchell Ayres & His Orchestra","3","6290","0","295998468","89","0","113","73","72","32","77","0","15","5"
"My Only Wish (This Year)","Britney Spears","1","6952","0","261116938","115","0","147","67","69","72","17","0","19","3"
"Antidepresan","Mabel Matiz, Mert Demir","2","313","2","136689549","10","1","100","70","92","59","3","0","10","3"
"Wild Flower (with youjeen)","RM","1","353","2","135611421","2","0","155","49","42","77","3","0","12","9"
"I Hate U","SZA","1","4094","0","356709897","66","0","107","54","41","39","51","0","11","16"
"Raindrops (Insane) [with Travis Scott]","Travis Scott, Metro Boomin","2","880","0","110649992","3","0","112","80","15","54","9","0","38","5"
"SPIT IN MY FACE!","ThxSoMch","1","573","0","301869854","1","0","166","70","57","57","9","20","11","7"
"Deck The Hall - Remastered 1999","Nat King Cole","1","3299","0","127027715","65","0","107","69","96","36","81","0","8","4"
"Smoking on my Ex Pack","SZA","1","811","0","57144458","6","0","81","47","33","68","24","0","22","38"
"Conceited","SZA","1","899","0","56870689","2","0","150","79","77","46","5","0","11","7"
"Snow On The Beach (feat. Lana Del Rey)","Taylor Swift, Lana Del Rey","2","2415","0","323437194","33","0","110","66","19","32","69","0","12","4"
"Maroon","Taylor Swift","1","2304","0","317726339","12","0","108","64","4","40","6","0","10","6"
"Tubar��o Te","Dj LK da Esc��cia, Tchakabum, mc jhenny, M","4","1003","0","116144341","21","0","130","89","48","74","30","0","7","36"
"Bejeweled","Taylor Swift","1","2699","0","328207708","39","2","164","70","39","56","6","0","9","7"
"Tarot","Bad Bunny, Jhay Cortez","2","2482","20","608228647","27","2","114","80","42","68","2","0","66","4"
"You Make It Feel Like Christmas (feat. Blake Shelton)","Gwen Stefani, Blake Shelton","2","2577","0","180577478","108","0","93","63","93","88","1","0","12","4"
"Desesperados","Chencho Corleone, Rauw Alejandro","2","6821","34","809306935","83","7","90","87","51","69","36","0","9","8"
"Too Late","SZA","1","714","0","49262961","0","0","128","45","35","68","78","0","39","8"
"Party","Bad Bunny, Rauw Alejandro","2","3185","4","614555082","38","3","97","83","47","80","2","0","24","9"
"Run Rudolph Run - Single Version","Chuck Berry","1","8612","0","245350949","120","0","152","69","94","71","79","0","7","8"
"Jingle Bells - Remastered 1999","Frank Sinatra","1","4326","0","178660459","32","0","175","51","94","34","73","0","10","5"
"Far","SZA","1","680","0","51641685","2","0","116","61","48","55","67","0","16","8"
"On Time (with John Legend)","John Legend, Metro Boomin","2","398","0","78139948","2","0","80","33","51","59","76","0","44","6"
"GAT��","Maldy, Karol G","2","3328","13","322336177","39","3","93","63","34","86","26","0","21","39"
"���abcdefu","Gayle","1","7215","0","1007612429","170","18","122","70","42","54","30","0","37","5"
"Sacrifice","The Weeknd","1","4440","0","326792833","81","0","122","70","91","79","3","0","7","10"
"Is There Someone Else?","The Weeknd","1","2881","6","391251368","13","0","135","70","60","58","4","0","16","3"
"Fingers Crossed","Lauren Spencer Smith, Lauren Spencer Smith, Lauren Spencer Smith","3","2235","0","349585590","65","16","109","60","45","47","62","0","31","5"
"Out of Time","The Weeknd","1","3711","0","339659802","49","0","93","65","82","74","27","0","32","5"
"Do It To It","Cherish, ACRAZE","2","12403","0","674772936","183","0","125","85","64","81","2","5","7","9"
"We Don't Talk About Bruno","Adassa, Mauro Castillo, Stephanie Beatriz, Encanto - Cast, Rhenzy Feliz, Diane Guerrero, Carolina Gaitan","7","2785","0","432719968","95","0","206","58","83","45","36","0","11","8"
"Pepas","Farruko","1","14114","17","1309887447","252","20","130","76","44","77","1","0","13","3"
"How Do I Make You Love Me?","The Weeknd","1","1915","0","119238316","7","0","121","80","62","51","2","0","9","8"
"Gasoline","The Weeknd","1","2297","0","116903579","11","0","123","74","35","73","0","0","21","5"
"Infinity","Jaymes Young","1","4375","0","888046992","24","0","122","67","50","67","15","0","30","4"
"Less Than Zero","The Weeknd","1","2800","0","200660871","18","0","143","53","50","79","0","0","8","3"
